ticker,in_orats,in_polygon,source
OAJ,1,0,orats
OAK,1,0,orats
OAKS,1,0,orats
OAKUR,0,1,polygon
OAKUW,0,1,polygon
OAKpA,0,1,polygon
OAKpB,0,1,polygon
OALC,0,1,polygon
OARK,1,1,both
OAS,1,0,orats
OATS,1,0,orats
OB,1,1,both
OBDC,1,1,both
OBE,1,1,both
OBELF,1,0,orats
OBIL,0,1,polygon
OBIO,1,1,both
OBK,1,1,both
OBLG,1,1,both
OBLN,1,0,orats
OBND,0,1,polygon
OBNK,1,0,orats
OBOR,1,1,both
OBSV,1,0,orats
OBT,0,1,polygon
OC,1,1,both
OCAS,1,0,orats
OCAT,1,0,orats
OCAX,0,1,polygon
OCAXW,0,1,polygon
OCC,0,1,polygon
OCCI,0,1,polygon
OCCIN,0,1,polygon
OCCIO,0,1,polygon
OCDX,1,0,orats
OCEA,1,1,both
OCEAW,0,1,polygon
OCEN,0,1,polygon
OCFC,1,1,both
OCFCP,0,1,polygon
OCFT,1,1,both
OCG,1,1,both
OCGN,1,1,both
OCIP,1,0,orats
OCLR,1,0,orats
OCLRD,1,0,orats
OCLS,1,0,orats
OCN,1,1,both
OCNF,1,0,orats
OCNFD,1,0,orats
OCNW,1,0,orats
OCR,1,0,orats
OCRX,1,0,orats
OCS,1,1,both
OCSAW,0,1,polygon
OCSI,1,0,orats
OCSL,1,1,both
OCTD,0,1,polygon
OCTH,0,1,polygon
OCTJ,0,1,polygon
OCTO,0,1,polygon
OCTQ,0,1,polygon
OCTT,0,1,polygon
OCTW,0,1,polygon
OCTZ,0,1,polygon
OCUL,1,1,both
OCUP,1,1,both
OCX,1,1,both
OCZ,1,0,orats
OCZTQ,1,0,orats
ODC,0,1,polygon
ODD,1,1,both
ODDS,1,0,orats
ODFL,1,1,both
ODP,1,1,both
ODSY,1,0,orats
ODT,1,0,orats
ODTE,1,0,orats
ODV,1,1,both
ODVWZ,0,1,polygon
OEC,1,1,both
OEF,1,1,both
OEG,1,0,orats
OEH,1,0,orats
OESX,1,1,both
OEUR,0,1,polygon
OEX,1,0,orats
OFC,1,0,orats
