ticker,in_orats,in_polygon,source
MRKSY,1,0,orats
MRKT,1,0,orats
MRLN,1,0,orats
MRM,0,1,polygon
MRN,1,0,orats
MRNA,1,1,both
MRNAD,1,0,orats
MRNS,1,1,both
MRNY,1,1,both
MRO,1,1,both
MRP,1,0,orats
MRSH,1,0,orats
MRSK,0,1,polygon
MRSN,1,1,both
MRT,0,1,polygon
MRT.WS,0,1,polygon
MRTN,1,1,both
MRTX,1,1,both
MRUS,1,1,both
MRVC,1,0,orats
MRVI,1,1,both
MRVL,1,1,both
MRX,1,0,orats
MS,1,1,both
MSA,1,1,both
MSAI,0,1,polygon
MSAIW,0,1,polygon
MSB,1,1,both
MSBI,1,1,both
MSBIP,0,1,polygon
MSBT,1,0,orats
MSC,0,1,polygon
MSCC,1,0,orats
MSCI,1,1,both
MSCS,1,0,orats
MSD,0,1,polygon
MSDL,1,0,orats
MSEX,1,1,both
MSFD,1,1,both
MSFG,1,0,orats
MSFL,1,0,orats
MSFO,1,1,both
MSFT,1,1,both
MSFU,1,1,both
MSFW,1,0,orats
MSFX,1,0,orats
MSFY,1,1,both
MSG,1,0,orats
MSGE,1,1,both
MSGM,0,1,polygon
MSGN,1,0,orats
MSGR,1,0,orats
MSGS,1,1,both
MSH,1,0,orats
MSI,1,1,both
MSM,1,1,both
MSMR,0,1,polygon
MSN,1,1,both
MSNW,1,0,orats
MSO,1,0,orats
MSON,1,0,orats
MSOS,1,1,both
MSOX,1,1,both
MSP,1,0,orats
MSPD,1,0,orats
MSS,0,1,polygon
MSSAR,0,1,polygon
MSSAW,0,1,polygon
MSSR,1,0,orats
MST,1,0,orats
MSTB,0,1,polygon
MSTI,0,1,polygon
MSTK,1,0,orats
MSTQ,0,1,polygon
MSTR,1,1,both
MSTU,1,0,orats
MSTW,1,0,orats
MSTX,1,0,orats
MSTY,1,0,orats
MSTZ,1,0,orats
MSVX,0,1,polygon
MSpA,0,1,polygon
MSpE,0,1,polygon
MSpF,0,1,polygon
MSpI,0,1,polygon
MSpK,0,1,polygon
MSpL,0,1,polygon
MSpO,0,1,polygon
MSpP,0,1,polygon
MT,1,1,both
MTA,1,1,both
MTAL,0,1,polygon
MTAL.WS,0,1,polygon
MTB,1,1,both
MTBA,1,1,both
MTBC,1,0,orats
MTBL,0,1,polygon
MTBpH,0,1,polygon
MTC,0,1,polygon
MTCH,1,1,both
MTCR,1,0,orats
MTD,1,1,both
MTDR,1,1,both
MTEK,0,1,polygon
MTEKW,0,1,polygon
MTEM,1,1,both
MTEX,1,1,both
MTG,1,1,both
MTGE,1,0,orats
MTGP,0,1,polygon
MTH,1,1,both
MTL,1,0,orats
MTLQQ,1,0,orats
MTLS,1,1,both
MTN,1,1,both
MTNB,0,1,polygon
MTOR,1,0,orats
MTP,1,0,orats
MTR,0,1,polygon
MTRN,1,1,both
MTRX,1,1,both
MTSC,1,0,orats
MTSI,1,1,both
MTSN,1,0,orats
MTSR,1,0,orats
MTTR,1,1,both
MTU,1,0,orats
MTUL,0,1,polygon
MTUM,1,1,both
MTUS,1,0,orats
MTVR,1,0,orats
MTW,1,1,both
MTX,1,1,both
MTXX,1,0,orats
MTYY,1,0,orats
MTZ,1,1,both
MU,1,1,both
MUA,0,1,polygon
MUB,1,1,both
MUC,0,1,polygon
MUDS,1,0,orats
MUE,0,1,polygon
MUFG,1,1,both
MUI,0,1,polygon
MUJ,0,1,polygon
MULE,1,0,orats
MULL,1,0,orats
MULN,1,1,both
MUNI,1,1,both
MUR,1,1,both
MURA,1,1,both
MUSA,1,1,both
MUSI,0,1,polygon
MUSQ,0,1,polygon
