ticker,group,segment,entry_date,expiry,dte,horizon,fold_id,short_strike,wing_strike,width,credit,max_loss,maxloss_c,ivrank,vrp_score,vrp_rel,dispersion,size_units,n_raw,contracts,entry_spot,settle_spot,breached,exit_date,exit_reason,gross_pnl,cost,pnl,pnl_pct_nav
SPY,us_large_cap_equity,xsec,2010-01-12,2010-02-20,39,22,0,110.0,103.0,7.0,0.81,6.1899999999999995,619.0,NaN,0.0007656225004332644,0.34854556748996296,0.6556991128577127,1.0,64.62035541195476,65.0,113.66,111.14,false,2010-02-20,expiry,5265.0,84.5,5180.5,0.00259025
XRT,us_discretionary_sector,xsec,2010-01-12,2010-02-20,39,22,0,34.0,32.0,2.0,0.22999999999999998,1.77,177.0,NaN,0.0018102609979563197,0.3455602655018199,0.5128311461817472,1.0,225.98870056497177,226.0,36.16,36.77,false,2010-02-20,expiry,5198.0,293.8,4904.2,0.0024521
DIA,us_large_cap_equity,xsec,2010-01-20,2010-02-20,31,22,0,103.0,98.0,5.0,0.52,4.48,448.00000000000006,NaN,0.0005036120835882746,0.32665998308571276,0.5487208289358262,1.0,89.28571428571428,89.0,106.02,103.99,false,2010-02-20,expiry,4628.0,115.7,4512.3,0.00225615
SPY,us_large_cap_equity,xsec,2010-01-20,2010-02-20,31,22,0,110.0,106.0,4.0,0.4600000000000001,3.54,354.0,NaN,0.0006946721639377971,0.35591604075361616,0.636296885810862,1.0,112.99435028248588,113.0,113.89,111.14,false,2010-02-20,expiry,5198.000000000001,146.9,5051.100000000001,0.0025255500000000005
SPY,us_large_cap_equity,xsec,2010-02-03,2010-03-20,45,22,1,105.0,97.0,8.0,1.05,6.95,695.0,NaN,0.0006048620179752457,0.18902308918507976,0.5913511049945935,1.0,57.55395683453237,58.0,109.83,115.97,false,2010-03-20,expiry,6090.0,75.4,6014.6,0.0030073
USO,oil_and_energy,xsec,2010-02-03,2010-03-20,45,22,1,35.0,32.0,3.0,0.45999999999999996,2.54,254.0,NaN,0.0017934604868452483,0.2327334529983687,0.33695985897683645,1.0,157.48031496062993,157.0,37.65,39.2,false,2010-03-20,expiry,7222.0,204.1,7017.9,0.00350895
IWM,us_small_cap_equity,xsec,2010-02-10,2010-03-20,38,22,1,56.0,51.0,5.0,0.6100000000000001,4.39,438.99999999999994,NaN,0.0007739050409360949,0.125157313137143,0.5045603891814477,1.0,91.11617312072894,91.0,59.63,67.41,false,2010-03-20,expiry,5551.000000000001,118.3,5432.700000000001,0.00271635
USO,oil_and_energy,xsec,2010-02-10,2010-03-20,38,22,1,34.0,31.0,3.0,0.47,2.5300000000000002,253.00000000000003,NaN,0.0017844293385950328,0.15493539834979997,0.3479041606742583,1.0,158.10276679841894,158.0,36.51,39.2,false,2010-03-20,expiry,7426.0,205.4,7220.6,0.0036103000000000003
SPY,us_large_cap_equity,xsec,2010-02-18,2010-03-20,30,22,1,106.0,102.0,4.0,0.45999999999999996,3.54,354.0,NaN,0.0003519246875609162,0.11375646300235516,0.5739355510664805,1.0,112.99435028248588,113.0,110.91,115.97,false,2010-03-20,expiry,5198.0,146.9,5051.1,0.00252555
USO,oil_and_energy,xsec,2010-02-18,2010-03-20,30,22,1,36.0,34.0,2.0,0.24000000000000002,1.76,176.0,NaN,0.0006556064476476095,0.07465027200546645,0.36768073742151774,1.0,227.27272727272728,227.0,38.73,39.2,false,2010-03-20,expiry,5448.000000000001,295.1,5152.900000000001,0.00257645
IWM,us_small_cap_equity,xsec,2010-02-25,2010-03-31,34,22,1,60.0,56.0,4.0,0.45999999999999996,3.54,354.0,NaN,0.00034222421088611924,0.09129192876357438,0.5240840828421873,1.0,112.99435028248588,113.0,63.06,67.8,false,2010-03-31,expiry,5198.0,146.9,5051.1,0.00252555
SPY,us_large_cap_equity,xsec,2010-02-25,2010-03-31,34,22,1,106.0,100.0,6.0,0.6700000000000002,5.33,533.0,NaN,0.0004574231696559423,0.16145662819725173,0.5815905125710812,1.0,75.046904315197,75.0,110.67,117.0,false,2010-03-31,expiry,5025.000000000001,97.5,4927.500000000001,0.0024637500000000007
SPY,us_large_cap_equity,xsec,2010-03-04,2010-03-31,27,22,2,109.0,105.0,4.0,0.48000000000000004,3.52,352.0,NaN,0.00017491399971159395,0.08109482314582339,0.5952045471921724,1.0,113.63636363636364,114.0,112.64,117.0,false,2010-03-31,expiry,5472.000000000001,148.20000000000002,5323.800000000001,0.0026619000000000005
TLT,us_rates_and_ig_credit,xsec,2010-03-04,2010-04-17,44,22,2,89.0,87.0,2.0,0.32999999999999996,1.67,167.0,NaN,0.00008856552526331904,0.08530973212878927,0.36898614697237897,1.0,239.52095808383234,240.0,91.47,89.86,false,2010-04-17,expiry,7919.999999999998,312.0,7607.999999999998,0.0038039999999999992
SPY,us_large_cap_equity,xsec,2010-03-11,2010-04-17,37,22,2,111.0,106.0,5.0,0.6500000000000001,4.35,434.99999999999994,NaN,0.0004282971529649725,0.19720347328153517,0.6128251684995126,1.0,91.95402298850576,92.0,115.45,119.36,false,2010-04-17,expiry,5980.000000000001,119.60000000000001,5860.400000000001,0.0029302000000000004
XLF,us_cyclicals_sector,xsec,2010-03-11,2010-04-17,37,22,2,15.0,13.0,2.0,0.2,1.8,180.0,NaN,0.0016501140758540438,0.2619917820177039,0.6696391780019588,1.0,222.22222222222223,222.0,15.6,16.36,false,2010-04-17,expiry,4440.0,288.6,4151.4,0.0020756999999999998
